id,name,category,quantity,retail_quantity,location,barcode,type,weight,carton_count,units_per_carton,flavor,carton_fraction,unit_type,wholesale_supplier_price,wholesale_sale_price,retail_sale_price,extra_retail_quantity,min_quantity
50,gجولد علكة نعناع 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006582095,Wholesale / جملة,250g / 250 جم,1,5,علكة نعناع,0,Wholesale / جملة,,,,,
53,gجولد علكة مستكة 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006582668,Wholesale / جملة,250g / 250 جم,1,2,علكة مستكة,0,Wholesale / جملة,,,,,
57,gجولد بسكويت 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006581470,Wholesale / جملة,250g / 250 جم,1,2,بسكويت,0,Wholesale / جملة,,,,,
63,معسل عباس 1000 جم,Wholesale / جملة,0,,Store 2 / مخزن 2,6224000118136,Wholesale / جملة,1kg / 1 كجم,1,8,,0,Wholesale / جملة,,,,,
64,البرنس ورد 100 جم,Wholesale / جملة,0,,Store 2 / مخزن 2,6224000118228,Wholesale / جملة,100g / 100 جم,4,25,ورد,0,Wholesale / جملة,,,,,
74,معسل خطاط 450 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223006582835,Wholesale / جملة,450g / 450 جم,1,12,سلوم,0,Wholesale / جملة,,,,0,
75,قص الهرم 500 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,11511155,Wholesale / جملة,500g / 500 جم,3,8,قص,0,Wholesale / جملة,,,,0,
77,نخلة تفاح معدن 250 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273086,Wholesale / جملة,250g / 250 جم,3,40,تفاح,0.5,Wholesale / جملة,,,,0,
78,زغلول 700 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273352,Wholesale / جملة,,7,5,زغلول,0,Wholesale / جملة,,,,0,
82,نخلة تفاح 100 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273055,Wholesale / جملة,100g / 100 جم,7,27,تفاح,0,Wholesale / جملة,,,,0,
